,workerId,treatment,idpAgreement,taskId,acc,globalId,decision,selfPrediction,finalPrediction,selfCorrect,finalCorrect,agreement,prediction,finalAgreement,mlCorrect,switch
114,353,2,50,2,80,3998,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
115,260,3,80,2,80,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
116,323,3,80,22,80,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
117,98,1,80,22,50,2506,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
118,371,3,80,12,80,991,0,1,0,FALSE,TRUE,1,1,FALSE,FALSE,FALSE
119,381,0,50,18,50,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
120,307,1,80,24,50,4688,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
121,397,1,80,25,50,2162,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
122,35,3,80,29,80,2506,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
123,249,1,80,19,50,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
124,125,0,50,24,50,2506,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
125,79,1,80,14,50,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
126,305,0,50,6,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
127,166,0,50,6,50,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
128,365,0,50,23,50,2053,0,1,0,FALSE,TRUE,1,1,FALSE,FALSE,FALSE
129,60,2,50,10,80,2487,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
130,10,0,50,2,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
131,183,1,80,28,50,2162,0,1,0,FALSE,TRUE,0,0,TRUE,TRUE,TRUE
132,20,2,50,15,80,3152,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
133,397,1,80,4,50,6577,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
134,255,1,80,15,50,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
135,41,1,80,16,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
136,222,1,80,28,50,1066,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
137,112,3,80,21,80,3996,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
138,333,3,80,7,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
139,83,2,50,18,80,3724,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
140,432,3,80,29,80,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
141,57,3,80,22,80,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
142,240,3,80,19,80,6577,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
143,323,3,80,24,80,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
144,349,3,80,7,80,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
145,226,0,50,19,50,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
146,213,1,80,26,50,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
147,374,1,80,18,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
148,45,0,50,8,50,4770,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
149,381,0,50,7,50,370,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
150,58,1,80,23,50,4492,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
151,416,3,80,27,80,734,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
152,367,2,50,19,80,132,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
153,397,1,80,16,50,1965,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
154,162,0,50,1,50,370,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
155,213,1,80,30,50,734,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
156,106,2,50,29,80,2162,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
157,83,2,50,10,80,3156,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
158,298,0,50,28,50,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
159,387,1,80,28,50,5272,0,0,1,TRUE,FALSE,1,0,FALSE,TRUE,FALSE
160,456,0,50,6,50,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
161,1,1,80,27,50,4223,1,1,0,TRUE,FALSE,0,0,TRUE,FALSE,TRUE
162,350,2,50,31,80,2506,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
163,87,3,80,10,80,481,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
164,205,2,50,10,80,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
165,311,3,80,21,80,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
166,17,2,50,11,80,4361,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
167,380,0,50,21,50,3724,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
168,350,2,50,4,80,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
169,109,0,50,14,50,3998,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
170,426,1,80,8,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
171,438,0,50,29,50,2053,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
172,205,2,50,7,80,1965,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
173,279,3,80,5,80,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
174,124,2,50,23,80,1004,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
175,146,2,50,27,80,1066,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
176,53,1,80,30,50,2162,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
177,383,1,80,27,50,2053,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
178,274,3,80,30,80,2053,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
179,311,3,80,8,80,2487,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
180,198,1,80,16,50,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
181,264,1,80,27,50,2162,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
182,207,2,50,30,80,5272,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
183,0,2,50,13,80,3152,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
184,289,0,50,14,50,1965,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
185,289,0,50,12,50,2487,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
186,58,1,80,18,50,4356,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
187,346,2,50,22,80,1066,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
188,375,3,80,16,80,1090,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
189,127,1,80,31,50,5272,0,0,0,TRUE,TRUE,1,0,TRUE,TRUE,FALSE
190,8,3,80,24,80,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
191,0,2,50,11,80,481,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
192,165,2,50,31,80,2162,0,1,0,FALSE,TRUE,0,0,TRUE,TRUE,TRUE
193,433,0,50,24,50,4492,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
194,287,2,50,17,80,3998,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
195,87,3,80,13,80,4361,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
196,281,1,80,3,50,1965,1,0,0,FALSE,FALSE,1,0,TRUE,FALSE,FALSE
197,237,0,50,12,50,991,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
198,447,0,50,28,50,1066,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
199,256,0,50,14,50,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
200,126,1,80,25,50,5272,0,0,1,TRUE,FALSE,1,0,FALSE,TRUE,FALSE
201,97,2,50,26,80,2053,0,0,1,TRUE,FALSE,0,1,TRUE,FALSE,TRUE
202,309,1,80,24,50,5272,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
203,451,0,50,24,50,734,0,1,1,FALSE,FALSE,1,1,TRUE,FALSE,FALSE
204,320,1,80,24,50,1066,1,0,1,FALSE,TRUE,0,1,TRUE,TRUE,TRUE
205,16,3,80,10,80,4786,0,1,0,FALSE,TRUE,0,0,TRUE,TRUE,TRUE
206,142,2,50,8,80,370,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
207,112,3,80,14,80,4770,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
208,6,3,80,8,80,370,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
209,438,0,50,9,50,3996,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
210,43,0,50,13,50,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
211,277,3,80,9,80,4786,0,1,1,FALSE,FALSE,0,0,FALSE,TRUE,FALSE
212,323,3,80,27,80,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
213,440,0,50,13,50,2487,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
214,123,2,50,11,80,6533,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
215,351,3,80,15,80,2380,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
216,86,3,80,25,80,4223,1,1,1,TRUE,TRUE,0,0,FALSE,FALSE,FALSE
217,256,0,50,16,50,132,0,0,0,TRUE,TRUE,0,1,FALSE,FALSE,FALSE
218,337,0,50,16,50,3792,1,1,1,TRUE,TRUE,1,1,TRUE,TRUE,FALSE
219,288,0,50,25,50,4688,1,0,0,FALSE,FALSE,0,1,FALSE,TRUE,FALSE
